Date,Open,High,Low,Close,Adj Close,Volume
2025-09-14,115950.292319,116181.499223,115222.396321,115407.654447,115407.654447,32798036056.78
2025-09-15,115399.631144,116747.879236,114461.063165,115444.872708,115444.872708,52937859416.04
2025-09-16,115423.754642,117005.275852,114813.092569,116843.184251,116843.184251,45781744592.98
2025-09-17,116840.506939,117328.605737,114794.973202,116468.507390,116468.507390,60528025996.3
2025-09-18,116461.262706,117911.788336,116188.795158,117137.202460,117137.202460,49457272032.38
2025-09-19,117137.673347,117479.754280,115141.817292,115688.862818,115688.862818,38828473971.12
2025-09-20,115691.128481,116191.148075,115473.524279,115721.958208,115721.958208,22864449614.47
2025-09-21,115730.225839,115901.089554,115252.580084,115306.097161,115306.097161,22495852193.17
2025-09-22,115309.222122,115431.309085,112037.644690,112748.505623,112748.505623,70684158591.15
2025-09-23,112757.475555,113351.911980,111535.567280,112014.499677,112014.499677,47211853278.67
2025-09-24,112007.666516,113986.271230,111229.638819,113328.630409,113328.630409,48044595084.74
2025-09-25,113330.165719,113541.087025,108713.396178,109049.287957,109049.287957,75528654283.63
2025-09-26,109041.294501,110359.194069,108728.977967,109712.831518,109712.831518,57738288948.87
2025-09-27,109707.141018,109778.498917,109144.293006,109681.942483,109681.942483,26308042910.14
2025-09-28,109681.947300,112375.482143,109236.947744,112122.639151,112122.639151,33371048505.29
2025-09-29,112117.878794,114473.569892,111589.950680,114400.386428,114400.386428,60000147465.61
2025-09-30,114396.520241,114836.615425,112740.564747,114056.083647,114056.083647,58986330258.25
2025-10-01,114057.592183,118648.928588,113981.395969,118648.928588,118648.928588,71328680131.6
2025-10-02,118652.385896,121086.407241,118383.158156,120681.259723,120681.259723,71415163911.62
2025-10-03,120656.982023,123944.704959,119344.311005,122266.532728,122266.532728,83941392228.12
2025-10-04,122267.469771,122857.640202,121577.571403,122425.428730,122425.428730,36769171734.75
2025-10-05,122419.670688,125559.208747,122191.958141,123513.473714,123513.473714,73689317763.05
2025-10-06,123510.449968,126198.069603,123196.048902,124752.528352,124752.528352,72568881188.34
2025-10-07,124752.139724,125184.025829,120681.971845,121451.379070,121451.379070,76149412513.03
2025-10-08,121448.353627,124167.091661,121119.180056,123354.870335,123354.870335,65354305285.91
2025-10-09,123337.067760,123739.346630,119812.034640,121705.582267,121705.582267,74653009424.96
2025-10-10,121704.740228,122509.661654,104582.411348,113214.365993,113214.365993,153125018868.11
2025-10-11,113236.429763,113429.724541,109760.564774,110807.879320,110807.879320,110236934340.44
2025-10-12,110811.514097,115805.065218,109715.541308,115169.763925,115169.763925,93710414090.64
2025-10-13,115161.675825,116020.486483,113821.190195,115271.075137,115271.075137,71582026738.87
2025-10-14,115264.879015,115502.879430,110029.486586,113118.667160,113118.667160,92212917403.23
2025-10-15,113113.972094,113622.382004,110235.835494,110783.166855,110783.166855,72574132855.11
2025-10-16,110782.171930,111990.813046,107537.029324,108186.038475,108186.038475,87306423067.48
2025-10-17,108179.134712,109235.807656,103598.428851,106467.785228,106467.785228,99703051669.23
2025-10-18,106483.735232,107490.981181,106387.449935,107198.266851,107198.266851,37779905278.47
2025-10-19,107204.314120,109488.992543,106157.790609,108666.711526,108666.711526,47657008952.53
2025-10-20,108667.443809,111711.033248,107485.014270,110588.930159,110588.930159,63507793084.59
2025-10-21,110587.629936,113996.346348,107534.749138,108476.886979,108476.886979,101194375480.17
2025-10-22,108491.527690,109115.136637,106777.996607,107688.588123,107688.588123,80807013217.67
2025-10-23,107679.438821,111288.594757,107548.429158,110069.722918,110069.722918,54944076060.09
2025-10-24,110069.354575,111842.528015,109770.151647,111033.923081,111033.923081,48160816980.41
2025-10-25,111032.614885,111947.704698,110704.407776,111641.730008,111641.730008,24707667305.22
2025-10-26,111639.052658,115260.905148,111268.487562,114472.443362,114472.443362,41708524143.03
2025-10-27,114479.848947,116273.314265,113882.292112,114119.324790,114119.324790,61761358733.17
2025-10-28,114129.089130,116078.985219,112291.681451,112956.166376,112956.166376,64528066504.07
2025-10-29,112921.327463,113642.724080,109368.720139,110055.302862,110055.302862,62192043468.67
2025-10-30,110059.196828,111612.348245,106376.688767,108305.548762,108305.548762,69673964813.67
2025-10-31,108304.414597,111031.821901,108288.271309,109556.160870,109556.160870,60090359559.55
2025-11-01,109558.627500,110574.901362,109372.954724,110064.017401,110064.017401,25871668761.94
